no;quantCI_1;quantCI_2;quantCI_3
1;Feather;1902;42000
2;Feather;1903;102000
3;Feather;1904;118000
4;Feather;1905;81000
5;Feather;1906;128000
6;Feather;1907;230000
7;Feather;1908;16300
8;Feather;1909;140000
9;Feather;1910;31000
10;Feather;1911;75400
11;Feather;1912;16400
12;Feather;1913;16800
13;Feather;1914;122000
14;Feather;1915;81400
15;Feather;1916;42400
16;Feather;1917;80400
17;Feather;1918;28200
18;Feather;1919;65900
19;Feather;1920;23400
20;Feather;1921;62300
21;Feather;1922;36400
22;Feather;1923;22400
23;Feather;1924;42400
24;Feather;1925;64300
25;Feather;1926;55700
26;Feather;1927;94000
27;Feather;1928;185000
28;Feather;1929;14000
29;Feather;1930;80100
30;Feather;1931;11600
31;Feather;1932;22600
32;Feather;1933;8860
33;Feather;1934;20300
34;Feather;1935;58600
35;Feather;1936;85400
36;Feather;1937;19200
37;Feather;1938;185000
38;Feather;1939;8080
39;Feather;1940;152000
40;Feather;1941;84200
41;Feather;1942;110000
42;Feather;1943;108000
43;Feather;1944;24900
44;Feather;1945;60100
45;Feather;1946;54400
46;Feather;1947;45600
47;Feather;1948;36700
48;Feather;1949;16800
49;Feather;1950;46400
50;Feather;1951;92100
51;Feather;1952;59200
52;Feather;1953;13000
53;Feather;1954;113000
54;Feather;1955;54800
55;Feather;1956;203000
56;Feather;1957;83100
57;Feather;1958;102000
58;Feather;1959;34500
59;Feather;1960;135000
60;Blackstone;1929;4570
61;Blackstone;1930;1970
62;Blackstone;1931;8220
63;Blackstone;1932;4530
64;Blackstone;1933;5780
65;Blackstone;1934;6560
66;Blackstone;1935;7500
67;Blackstone;1936;15000
68;Blackstone;1937;6340
69;Blackstone;1938;15100
70;Blackstone;1939;3840
71;Blackstone;1940;5860
72;Blackstone;1941;4480
73;Blackstone;1942;5330
74;Blackstone;1943;5310
75;Blackstone;1944;3830
76;Blackstone;1945;3410
77;Blackstone;1946;3830
78;Blackstone;1947;3150
79;Blackstone;1948;5810
80;Blackstone;1949;2030
81;Blackstone;1950;3620
82;Blackstone;1951;4920
83;Blackstone;1952;4090
84;Blackstone;1953;5570
85;Blackstone;1954;9400
86;Blackstone;1955;32900
87;Blackstone;1956;8710
88;Blackstone;1957;3850
89;Blackstone;1958;4970
90;Blackstone;1959;5398
91;Blackstone;1960;4780
92;Blackstone;1961;4020
93;Blackstone;1962;5790
94;Blackstone;1963;4510
95;Blackstone;1964;5520
96;Blackstone;1965;5300
